Word,Count
*,25238
the,7022
a,4659
be,4286
in,4136
{@link,2780
,2581
<p>May,2388
form,2218
is,1940
or,1750
can,1526
found,1455
\value,\,1435
@see,1392
value,1391
<tr><td><code>{@link,1390
where,1390
@attr,1390
attribute's,1390
symbol,1390
<p>This,1390
name,1390
offset,1390
array,1390
\align="\left"\\,1190
<colgroup,1190
/>,1190
as,1124
such,1124
to,1120
theme,954
\"\<code>?[<i>package</i>:]<i>type</i>/<i>name</i></code>"\\,954
attribute,954
another,954
reference,954
\"\<code>@[+][<i>package</i>:]<i>type</i>/<i>name</i></code>"\\,954
\resource,\,954
with,683
point,656
floating,656
of,643
which,548
number,547
appended,546
on,532
and,525
unit,523
preferred,522
(density-independent,522
(millimeters),522
are:,522
\pixels),\,522
\(pixels),\,522
\(inches),\,522
\"\<code>14.5sp</code>"\\,522
pixels,522
Available,522
units,522
dp,522
sp,522
px,522
(scaled,522
\size),\,522
based,522
dimension,522
mm,522
font,522
<table>,442
following,442
</table>,442
\"\<code>#<i>rrggbb</i></code>"\,\,310
color,310
\"\<code>#<i>rgb</i></code>"\,\,310
\"\<code>#<i>argb</i></code>"\,\,310
\"\<code>#<i>aarrggbb</i></code>"\\,310
one,306
constant,306
<p>Must,306
<tr><th>Constant</th><th>Value</th><th>Description</th></tr>,306
values.</p>,306
\"\<code>true</code>"\\,262
\"\<code>false</code>"\\,262
boolean,262
#AppCompatTheme},238
by,204
for,139
used,137
<tr><th>Attribute</th><th>Description</th></tr>,136
that,136
Attributes,136
attributes:</p>,136
<p>Includes,136
'\\n',134
using,134
'\\uxxxx',134
escape,134
'\\;',134
characters,134
unicode,134
character;,134
string,134
#ConstraintSet},128
\"\<code>1.2</code>"\\,110
#ConstraintLayout_Layout},98
<tr><td>parent</td><td>0</td><td></td></tr>,78
an,73
\"\<code>100</code>"\\,72
integer,72
from,68
more,67
DO,67
MODIFY,67
NOT,67
generated,67
it,67
data,66
not,66
was,66
(separated,66
'|'),66
AUTO-GENERATED,65
modified,65
It,65
class,65
resource,65
should,65
automatically,65
This,65
FILE,65
hand,65
#MaterialEditText},62
plugin,62
gradle,62
#Toolbar},58
#ActionBar},58
suffix,48
%,48
#MapAttrs},46
#MenuItem},46
<tr><td>none</td><td>0</td><td></td></tr>,40
=,40
<tr><td>bottom</td><td>50</td><td></td></tr>,36
<tr><td>top</td><td>30</td><td></td></tr>,36
#SearchView},34
<tr><td>src_in</td><td>5</td><td></td></tr>,34
<tr><td>src_over</td><td>3</td><td></td></tr>,34
<tr><td>multiply</td><td>e</td><td></td></tr>,34
<tr><td>src_atop</td><td>9</td><td></td></tr>,34
<tr><td>screen</td><td>f</td><td></td></tr>,34
#TabLayout},32
<tr><td>left</td><td>3</td><td></td></tr>,32
#CollapsingToolbarLayout},32
#TextInputLayout},32
<tr><td>start</td><td>800003</td><td></td></tr>,30
<tr><td>end</td><td>800005</td><td></td></tr>,30
#SwitchCompat},28
#CardView},26
#TextAppearance},26
some,26
The,25
percentage,24
relative,24
size,24
<tr><td>center</td><td>11</td><td></td></tr>,24
container,24
optional,24
<tr><td>center_horizontal</td><td>1</td><td></td></tr>,24
either,24
<tr><td>center_vertical</td><td>10</td><td></td></tr>,24
\"\<code>14.5%</code>"\\,24
base,24
<tr><td>spread</td><td>0</td><td></td></tr>,24
size;,24
#Iconics},24
means,24
always,24
%p,24
provides,24
\%p,\,24
<tr><td>right</td><td>5</td><td></td></tr>,24
<tr><td>fill_vertical</td><td>70</td><td></td></tr>,24
parent,24
fractional,24
#RecyclerView},22
#MaterialDrawer},22
#NavigationView},20
{,20
},19
<tr><td>normal</td><td>0</td><td></td></tr>,18
#LinearLayoutCompat},18
#MenuView},18
Toast.LENGTH_SHORT).show();,17
<tr><td>fill_horizontal</td><td>7</td><td></td></tr>,16
#FloatingActionButton},16
<tr><td>clip_vertical</td><td>80</td><td></td></tr>,16
<tr><td>fill</td><td>77</td><td></td></tr>,16
#AppCompatTextView},16
<tr><td>clip_horizontal</td><td>8</td><td></td></tr>,16
#DrawerArrowToggle},16
<tr><td>add</td><td>10</td><td></td></tr>,16
#AlertDialog},14
#CoordinatorLayout_Layout},14
#AppCompatTextHelper},14
<tr><td>spread_inside</td><td>1</td><td></td></tr>,12
<tr><td>wrap</td><td>1</td><td></td></tr>,12
<tr><td>packed</td><td>2</td><td></td></tr>,12
#ActionMode},12
#FontFamily},12
#MenuGroup},12
<tr><td>fill_parent</td><td>ffffffff</td><td></td></tr>,10
android:orientation,10
<tr><td>vertical</td><td>1</td><td></td></tr>,10
<tr><td>wrap_content</td><td>fffffffe</td><td></td></tr>,10
#BottomNavigationView},10
android.R.attr#orientation},10
#View},10
void,10
android:orientation}</code></td><td></td></tr>,10
<tr><td>match_parent</td><td>ffffffff</td><td></td></tr>,10
#AppBarLayout},10
#Spinner},10
<tr><td>horizontal</td><td>0</td><td></td></tr>,10
\Toast.makeText(this,\,9
public,9
new,9
Created,8
<tr><td>FUNCTION</td><td>8</td><td></td></tr>,8
android:id,8
#LinearLayoutCompat_Layout},8
#AppCompatImageView},8
@Override,8
android:id}</code></td><td></td></tr>,8
<tr><td>normal</td><td>1</td><td></td></tr>,8
android:maxWidth,8
<tr><td>auto</td><td>ffffffff</td><td></td></tr>,8
black,8
android.R.attr#maxWidth},8
<tr><td>META</td><td>10000</td><td></td></tr>,8
<tr><td>ALT</td><td>2</td><td></td></tr>,8
<tr><td>CTRL</td><td>1000</td><td></td></tr>,8
<tr><td>SHIFT</td><td>1</td><td></td></tr>,8
#AppCompatSeekBar},8
<tr><td>right</td><td>3</td><td></td></tr>,8
<tr><td>SYM</td><td>4</td><td></td></tr>,8
android:maxWidth}</code></td><td></td></tr>,8
android.R.attr#id},8
String,7
Intent,7
+,7
pashainc.google.com.safesafari.test.R.attr#elevation},6
android:layout,6
android:layout}</code></td><td></td></tr>,6
pashainc.google.com.safesafari.R.attr#elevation},6
pashainc.google.com.safesafari.test:elevation}</code></td><td></td></tr>,6
android.R.attr#layout},6
#BottomSheetBehavior_Layout},6
android:minHeight}</code></td><td></td></tr>,6
#ViewBackgroundHelper},6
#SignInButton},6
#TabItem},6
android:layout_gravity}</code></td><td></td></tr>,6
#LoadingImageView},6
#ColorStateListItem},6
#PopupWindow},6
#SnackbarLayout},6
android.R.attr#layout_gravity},6
pashainc.google.com.safesafari:elevation,6
android:layout_gravity,6
android:minWidth,6
pashainc.google.com.safesafari.test:elevation,6
android:background}</code></td><td></td></tr>,6
android:background,6
