File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\buildConfig\androidTest\debug\pashainc\google\com\safesafari\test\BuildConfig.java,14,9,8,0,2,0,3,9,3,9
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\buildConfig\debug\pashainc\google\com\safesafari\BuildConfig.java,14,9,8,0,2,0,3,9,3,9
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\androidTest\debug\android\support\test\espresso\R.java,11,3,2,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\androidTest\debug\android\support\test\espresso\idling\concurrent\R.java,11,3,2,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\androidTest\debug\android\support\test\rules\R.java,11,3,2,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\androidTest\debug\android\support\test\runner\R.java,11,3,2,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\androidTest\debug\pashainc\google\com\safesafari\test\R.java,17037,3302,3086,0,2,0,13733,63069,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\android\arch\core\R.java,11,3,2,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\android\arch\lifecycle\R.java,11,3,2,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\android\arch\lifecycle\extensions\R.java,130,122,112,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\android\support\compat\R.java,130,122,112,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\android\support\constraint\R.java,187,179,178,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\android\support\coreui\R.java,130,122,112,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\android\support\coreutils\R.java,130,122,112,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\android\support\design\R.java,1945,1937,1978,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\android\support\fragment\R.java,130,122,112,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\android\support\graphics\drawable\R.java,130,122,112,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\android\support\graphics\drawable\animated\R.java,130,122,112,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\android\support\mediacompat\R.java,153,145,135,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\android\support\transition\R.java,163,155,145,0,2,0,6,32,6,32
