Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,85,52907,24163,23454,64,631,6,28113,129003,396,2098
G:\FYP\Fyp Dev\SafeSafari-1,85,52907,24163,23454,64,631,6,28113,129003,396,2098
G:\FYP\Fyp Dev\SafeSafari-1\app,85,52907,24163,23454,64,631,6,28113,129003,396,2098
G:\FYP\Fyp Dev\SafeSafari-1\app\build,67,50807,22822,22410,0,135,0,27850,128172,396,2098
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated,67,50807,22822,22410,0,135,0,27850,128172,396,2098
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source,67,50807,22822,22410,0,135,0,27850,128172,396,2098
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\buildConfig,2,28,18,16,0,4,0,6,18,6,18
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\buildConfig\androidTest,1,14,9,8,0,2,0,3,9,3,9
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\buildConfig\androidTest\debug,1,14,9,8,0,2,0,3,9,3,9
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\buildConfig\androidTest\debug\pashainc,1,14,9,8,0,2,0,3,9,3,9
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\buildConfig\androidTest\debug\pashainc\google,1,14,9,8,0,2,0,3,9,3,9
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\buildConfig\androidTest\debug\pashainc\google\com,1,14,9,8,0,2,0,3,9,3,9
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\buildConfig\androidTest\debug\pashainc\google\com\safesafari,1,14,9,8,0,2,0,3,9,3,9
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\buildConfig\androidTest\debug\pashainc\google\com\safesafari\test,1,14,9,8,0,2,0,3,9,3,9
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\buildConfig\debug,1,14,9,8,0,2,0,3,9,3,9
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\buildConfig\debug\pashainc,1,14,9,8,0,2,0,3,9,3,9
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\buildConfig\debug\pashainc\google,1,14,9,8,0,2,0,3,9,3,9
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\buildConfig\debug\pashainc\google\com,1,14,9,8,0,2,0,3,9,3,9
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\buildConfig\debug\pashainc\google\com\safesafari,1,14,9,8,0,2,0,3,9,3,9
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r,65,50779,22804,22394,0,131,0,27844,128154,390,2080
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\androidTest,5,17081,3314,3094,0,10,0,13757,63197,30,160
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\androidTest\debug,5,17081,3314,3094,0,10,0,13757,63197,30,160
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\androidTest\debug\android,4,44,12,8,0,8,0,24,128,24,128
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\androidTest\debug\android\support,4,44,12,8,0,8,0,24,128,24,128
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\androidTest\debug\android\support\test,4,44,12,8,0,8,0,24,128,24,128
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\androidTest\debug\android\support\test\espresso,2,22,6,4,0,4,0,12,64,12,64
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\androidTest\debug\android\support\test\espresso\idling,1,11,3,2,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\androidTest\debug\android\support\test\espresso\idling\concurrent,1,11,3,2,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\androidTest\debug\android\support\test\rules,1,11,3,2,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\androidTest\debug\android\support\test\runner,1,11,3,2,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\androidTest\debug\pashainc,1,17037,3302,3086,0,2,0,13733,63069,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\androidTest\debug\pashainc\google,1,17037,3302,3086,0,2,0,13733,63069,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\androidTest\debug\pashainc\google\com,1,17037,3302,3086,0,2,0,13733,63069,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\androidTest\debug\pashainc\google\com\safesafari,1,17037,3302,3086,0,2,0,13733,63069,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\androidTest\debug\pashainc\google\com\safesafari\test,1,17037,3302,3086,0,2,0,13733,63069,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug,60,33698,19490,19300,0,121,0,14087,64957,360,1920
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\android,17,5289,5153,5098,0,34,0,102,544,102,544
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\android\arch,3,152,128,116,0,6,0,18,96,18,96
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\android\arch\core,1,11,3,2,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\android\arch\lifecycle,2,141,125,114,0,4,0,12,64,12,64
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\android\arch\lifecycle\extensions,1,130,122,112,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\android\support,14,5137,5025,4982,0,28,0,84,448,84,448
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\android\support\compat,1,130,122,112,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\android\support\constraint,1,187,179,178,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\android\support\coreui,1,130,122,112,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\android\support\coreutils,1,130,122,112,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\android\support\design,1,1945,1937,1978,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\android\support\fragment,1,130,122,112,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\android\support\graphics,2,260,244,224,0,4,0,12,64,12,64
