Word,Count
=,40
{,22
},20
Toast.LENGTH_SHORT).show();,19
*,16
the,12
void,11
public,10
@Override,9
new,9
\Toast.makeText(this,\,9
to,8
Created,8
by,8
black,8
,8
on,8
String,7
+,7
Intent,7
if,6
in,6
\"\\,5
for,5
Start,5
});,5
\"\+\,5
final,4
is,4
//,4
getIntent();,3
DatabaseReference,3
from,3
mDatabaseUID,3
code,3
ridekey,3
\mDatabase.child("\row\,3
a,3
update,3
and,3
intent,3
int,3
else,3
\"\Key\,3
Data,3
SMS,2
key);,2
Position,2
****Use,2
Static,2
it,2
mDatabase,2
Sign,2
For,2
/***********Shared,2
Pref********,2
&,2
CurrentLocation.class);,2
Loc,2
userPhone.setFilters(new,2
Tracking*********************************************************,2
};,2
mAuth.getCurrentUser().getUid();,2
run,2
\Toast.makeText(Register.this,\,2
*****Sharedref,2
Pref*********/,2
UI,2
{new,2
Location********,2
\Intent(SplashScreen.this,\,2
*****************************Ride,2
both,2
granted,2
3/28/2018,2
of,2
findViewById(R.id.loadingPanel).setVisibility(View.GONE);,2
Firebase********************,2
permission,2
Complete:,2
Alert,2
private,2
InputFilter[],2
OnSuccessListener<Void>(),2
\ridekey,\,2
sending,2
*****************Storing,2
Ride*****,2
onSuccess(Void,2
sharedPref,2
Current,2
map,2
\Toast.makeText(CurrentLocation.this,\,2
*********************Places,2
User's,2
On,2
spr.getName();,2
Properties,2
\sharedPref.getString("\RIDE_KEY"\,\,2
editor,2
********Reading,2
3/29/2018,2
-,2
Camera,2
duration,2
User,2
Firebase**********,2
\Toast.makeText(PhoneLogin.this,\,2
**********Shared,2
\is"\\,2
SharedprefWrite,2
some,2
SharedPreferences,2
Phone,2
empty,1
\sharedpref.getString("\UserName"\,\,1
if(intent,1
milliseconds,1
minLength,1
than,1
task),1
5,1
(task.isSuccessful()){,1
entered,1
FirebaseAuth.AuthStateListener(),1
sharedprefforPhoneLogin,1
\"\"\+result,\,1
timeout,1
task.getResult().getUser().getUid();,1
ValueEventListener(),1
\success,\,1
mDatabaseUID.addListenerForSingleValueEvent(new,1
12;,1
\null),\,1
object,1
data,1
information,1
\startActivity(CurrentLocation.getIntent(this).putExtra("\myKey"\,\,1
LOC,1
FirebaseAuth,1
guard_name);,1
Task<AuthResult>,1
\Toast.makeText(getApplicationContext(),"\Route\,1
(snapshot.hasChild(key)),1
\3"\).setValue("\1"\);\,1
\mDatabaseUid.child("\FamilyContact"\).child("\Contact"\).setValue(guard_phone).addOnSuccessListener(new\,1
\//Toast.makeText(Register.this,\,1
\context.getSharedPreferences("\UserData"\,Context.MODE_PRIVATE);\,1
\editor.putString("\RIDE_KEY"\,\,1
Activity,1
\2"\).setValue("\1"\);\,1
ridetrackbtn.setOnClickListener(new,1
verification,1
SharedPrefRead,1
\intent.getStringExtra("\details"\);\,1
recommended,1
sharedPreferences.edit();,1
error,1
findViewById(R.id.phone);,1
onDataChange(DataSnapshot,1
Create,1
value,1
Complete,1
(TextView),1
actintent,1
query,1
